"Proportion of deaths due to each cause, by sex, age group and state/territory, 2020, 2021, and 2022",,,,,,,,,,,,,,,,,,
,,,COVID-19,,,,,,,,Other Causes ,,,,,,,
Year,Sex,Age,NSW,Vic,Qld,SA,WA,Tas,NT,ACT,NSW,Vic,Qld,SA,WA,Tas,NT,ACT
2022,Male,100+,0.097,0.154,0.067,0.066,0.024,0,0,0.411,0.903,0.846,0.933,0.934,0.976,1,1,0.589
2022,Male,Total ,0.064,0.065,0.048,0.048,0.034,0.039,0.026,0.068,0.936,0.935,0.952,0.952,0.966,0.961,0.974,0.932
2022,Female,0-4,0,0,0.028,0,0.025,0,0,0,1,1,0.972,1,0.975,1,1,1
2022,Female,5-Sep,0,0,0.272,0,0,0,0,0,1,1,0.728,1,1,1,1,1
2022,Female,Oct-14,0,0,0.12,0,0,0,0,0,1,1,0.88,1,1,1,1,1
2022,Female,15-19,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
2022,Female,20-24,0,0.048,0,0,0,0,0,0,1,0.952,1,1,1,1,1,1
2022,Female,25-29,0.032,0.067,0.021,0,0,0,0,0,0.968,0.933,0.979,1,1,1,1,1
2022,Female,30-34,0.034,0,0,0,0.063,0,0,0,0.966,1,1,1,0.937,1,1,1
2022,Female,35-39,0.028,0,0.035,0,0,0,0,0.16,0.972,1,0.965,1,1,1,1,0.84
2022,Female,40-44,0.01,0.018,0.017,0,0.035,0,0,0,0.99,0.982,0.983,1,0.965,1,1,1
2022,Female,45-49,0.019,0.028,0.022,0.031,0.007,0,0.114,0.322,0.981,0.972,0.978,0.969,0.993,1,0.886,0.678
2022,Female,50-54,0.029,0.018,0.016,0.009,0.006,0.063,0,0.029,0.971,0.982,0.984,0.991,0.994,0.937,1,0.971
2022,Female,55-59,0.03,0.023,0.02,0.005,0.004,0,0.053,0,0.97,0.977,0.98,0.995,0.996,1,0.947,1
2022,Female,60-64,0.021,0.03,0.029,0.011,0.02,0.018,0.034,0,0.979,0.97,0.971,0.989,0.98,0.982,0.966,1
2022,Female,65-69,0.04,0.027,0.034,0.032,0.022,0.018,0.01,0.061,0.96,0.973,0.966,0.968,0.978,0.982,0.99,0.939
2022,Female,70-74,0.043,0.037,0.034,0.019,0.025,0.026,0.031,0.009,0.957,0.963,0.966,0.981,0.975,0.974,0.969,0.991
2022,Female,75-79,0.049,0.045,0.038,0.031,0.018,0.048,0.021,0.014,0.951,0.955,0.962,0.969,0.982,0.952,0.979,0.986
2022,Female,80-84,0.054,0.063,0.04,0.032,0.039,0.039,0,0.026,0.946,0.937,0.96,0.968,0.961,0.961,1,0.974
2022,Female,85-89,0.065,0.071,0.05,0.067,0.049,0.04,0.012,0.052,0.935,0.929,0.95,0.933,0.951,0.96,0.988,0.948
2022,Female,90-94,0.066,0.072,0.05,0.067,0.042,0.048,0.079,0.046,0.934,0.928,0.95,0.933,0.958,0.952,0.921,0.954
2022,Female,95-99,0.06,0.076,0.058,0.065,0.056,0.011,0,0.077,0.94,0.924,0.942,0.935,0.944,0.989,1,0.923
2022,Female,100+,0.09,0.106,0.059,0.094,0.099,0.052,1,0,0.91,0.894,0.941,0.906,0.901,0.948,0,1
2022,Female,Total,0.055,0.059,0.042,0.047,0.037,0.034,0.028,0.039,0.945,0.941,0.958,0.953,0.963,0.966,0.972,0.961
