DATAFLOW,MEASURE: Measure,SEX: Sex,AGE: Age,REGION: Region,FREQ: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,UNIT_MEASURE: Unit of Measure,OBS_STATUS: Observation Status,OBS_COMMENT: Observation Comment
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),1: Population,1: Males,94: 94,6: Tasmania,A: Annual,2020,127,PSNS: Persons,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),1: Population,1: Males,94: 94,6: Tasmania,A: Annual,2021,139,PSNS: Persons,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),1: Population,2: Females,11: 11,1: New South Wales,A: Annual,2017,46071,PSNS: Persons,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),1: Population,2: Females,11: 11,1: New South Wales,A: Annual,2018,48160,PSNS: Persons,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),1: Population,2: Females,11: 11,1: New South Wales,A: Annual,2019,49155,PSNS: Persons,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),1: Population,2: Females,11: 11,1: New South Wales,A: Annual,2020,49243,PSNS: Persons,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),1: Population,2: Females,11: 11,1: New South Wales,A: Annual,2021,50067,PSNS: Persons,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),1: Population,1: Males,53: 53,4: South Australia,A: Annual,2017,11390,PSNS: Persons,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),1: Population,1: Males,53: 53,4: South Australia,A: Annual,2018,11091,PSNS: Persons,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),1: Population,1: Males,53: 53,4: South Australia,A: Annual,2019,10961,PSNS: Persons,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),1: Population,1: Males,53: 53,4: South Australia,A: Annual,2020,10833,PSNS: Persons,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),1: Population,1: Males,53: 53,4: South Australia,A: Annual,2021,11228,PSNS: Persons,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),1: Population,2: Females,12: 12,3: Queensland,A: Annual,2017,30273,PSNS: Persons,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),1: Population,2: Females,12: 12,3: Queensland,A: Annual,2018,31872,PSNS: Persons,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),1: Population,2: Females,12: 12,3: Queensland,A: Annual,2019,32919,PSNS: Persons,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),1: Population,2: Females,12: 12,3: Queensland,A: Annual,2020,33802,PSNS: Persons,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),1: Population,2: Females,12: 12,3: Queensland,A: Annual,2021,34319,PSNS: Persons,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),1: Population,2: Females,61: 61,1: New South Wales,A: Annual,2017,45113,PSNS: Persons,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),1: Population,2: Females,61: 61,1: New South Wales,A: Annual,2018,46179,PSNS: Persons,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),1: Population,2: Females,61: 61,1: New South Wales,A: Annual,2019,47646,PSNS: Persons,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),1: Population,2: Females,61: 61,1: New South Wales,A: Annual,2020,48185,PSNS: Persons,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),1: Population,2: Females,61: 61,1: New South Wales,A: Annual,2021,48835,PSNS: Persons,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),1: Population,1: Males,79: 79,6: Tasmania,A: Annual,2017,1475,PSNS: Persons,,
